county,perc_not_secure_state,taxonomic_subgroup,n
Chenango,15.333333333333332,"Rails, Coots and Cranes",2
Chenango,15.333333333333332,Sparrows and Towhees,11
Chenango,15.333333333333332,Starlings,1
Chenango,15.333333333333332,Swallows,5
Chenango,15.333333333333332,Thrushes and Bluebirds,6
Chenango,15.333333333333332,Vireos,4
Chenango,15.333333333333332,Waxwings,1
Chenango,15.333333333333332,Wood-Warblers,25
Chenango,15.333333333333332,Woodpeckers,7
Chenango,15.333333333333332,Wrens,5
Chenango,15.333333333333332,Larks,1
Clinton,27.11864406779661,All,185
Clinton,27.11864406779661,Blackbirds and Orioles,8
Clinton,27.11864406779661,Cardinals and Buntings,4
Clinton,27.11864406779661,Chickadees and Titmice,2
Clinton,27.11864406779661,Creepers,1
Clinton,27.11864406779661,Crows and Jays,3
Clinton,27.11864406779661,Cuckoos,2
Clinton,27.11864406779661,"Ducks, Geese, Waterfowl",15
Clinton,27.11864406779661,Finches and Crossbills,7
Clinton,27.11864406779661,Flycatchers,9
Clinton,27.11864406779661,Gnatcatchers,1
Clinton,27.11864406779661,Grebes,1
Clinton,27.11864406779661,"Grouse, Pheasants, Turkeys",5
Clinton,27.11864406779661,"Gulls, Terns, Plovers, Shorebirds",10
Clinton,27.11864406779661,"Hawks, Falcons, Eagles, Vultures",13
Clinton,27.11864406779661,"Herons, Bitterns, Egrets, Pelicans",7
Clinton,27.11864406779661,Hummingbirds and Swifts,2
Clinton,27.11864406779661,Kingfishers,1
Clinton,27.11864406779661,Kinglets,2
Clinton,27.11864406779661,Mockingbirds and Thrashers,3
Clinton,27.11864406779661,Nightbirds,2
Clinton,27.11864406779661,Nuthatches,2
Clinton,27.11864406779661,Old World Sparrows,1
Clinton,27.11864406779661,Owls,6
Clinton,27.11864406779661,Pigeons and Doves,2
Clinton,27.11864406779661,"Rails, Coots and Cranes",5
Clinton,27.11864406779661,Sparrows and Towhees,12
Clinton,27.11864406779661,Starlings,1
Clinton,27.11864406779661,Swallows,6
Clinton,27.11864406779661,Thrushes and Bluebirds,7
