long,lat,group,order,region,County,Species
-75.3267593383789,42.66816711425781,1833,54094,new york,otsego,160
-75.32102966308594,42.67962646484375,1833,54095,new york,otsego,160
-75.292388916015625,42.754112243652344,1833,54096,new york,otsego,160
-75.27519226074219,42.78275680541992,1833,54097,new york,otsego,160
-75.25228118896484,42.817138671875,1833,54098,new york,otsego,160
-75.246551513671875,42.834327697753906,1833,54099,new york,otsego,160
-75.246551513671875,42.86870193481445,1833,54100,new york,otsego,160
-75.240814208984375,42.87443161010742,1833,54101,new york,otsego,160
-75.22362518310547,42.87443161010742,1833,54102,new york,otsego,160
-75.22362518310547,42.862972259521484,1833,54103,new york,otsego,160
-75.154876708984375,42.862972259521484,1833,54104,new york,otsego,160
-75.12049865722656,42.903079986572266,1833,54105,new york,otsego,160
-74.925689697265625,42.82859420776367,1833,54106,new york,otsego,160
-74.89704132080078,42.84005355834961,1833,54107,new york,otsego,160
-74.89704132080078,42.8973503112793,1833,54108,new york,otsego,160
-74.77098846435547,42.862972259521484,1833,54109,new york,otsego,160
-73.54486083984375,41.53371047973633,1834,54111,new york,putnam,136
-73.55632019042969,41.3675537109375,1834,54112,new york,putnam,136
-73.9688491821289,41.32744598388672,1834,54113,new york,putnam,136
-73.95738983154297,41.3675537109375,1834,54114,new york,putnam,136
-73.95166015625,41.40192794799805,1834,54115,new york,putnam,136
-73.96311950683594,41.41911697387695,1834,54116,new york,putnam,136
-73.974578857421875,41.430580139160156,1834,54117,new york,putnam,136
-73.934478759765625,41.48787307739258,1834,54118,new york,putnam,136
-73.54486083984375,41.53371047973633,1834,54119,new york,putnam,136
-73.76258850097656,40.777408599853516,1835,54121,new york,queens,115
-73.72821044921875,40.760215759277344,1835,54122,new york,queens,115
-73.71102142333984,40.737300872802734,1835,54123,new york,queens,115
-73.71102142333984,40.7258415222168,1835,54124,new york,queens,115
-73.72248077392578,40.72010803222656,1835,54125,new york,queens,115
-73.72821044921875,40.71438217163086,1835,54126,new york,queens,115
-73.71675109863281,40.66281509399414,1835,54127,new york,queens,115
-73.72248077392578,40.645626068115234,1835,54128,new york,queens,115
